GPCS3015;CONTACTOR SC-03 1NC(110VAC);60,00
GPCS3016;CONTACTOR SC-5-1(110VAC);96,00
GPCS3017;CONTACTOR SC-N1(110VAC);141,00
GPCS4003;ENCODER ((OIH100-1024C/T-L3-5V(TS5208N143));577,00
GPCS3034;CONTACTOR CZT-10F(110VAC);174,00
GPCS4912;BRAKING RESISTOR 1300W/49? / RESISTENCIA DE FRENADO;95,00
GPCS4913;BRAKING RESISTOR 2200W/28? / RESISTENCIA DE FRENADO;103,00
GPCS1113;MAIN CONTROLLER (MPK708C) / CONTROLADOR PRINCIPAL;1983,00
GPCS1116;CAR TOP CONTROL BOARD( PM709) / PLACA DE TECHO DE CABINA;178,00
GPCS1145;CAR CONTROL PRINTED BOARD (MPK708C) PLACA DE PANEL DE CONTROL;178,00
GPCS1152;DISPLAY PRINTED BOARD (MPK708C);130,00
GPCS3211;CIRCUIT BRAKER (S252S-K10) / PLACA DE FRENO;57,00
GPCS3267;PUSH BOTTON (CLE240+CLP101);34,00
GPCS3257;PUSH BOTTON (LAY39-20/BJA);16,00
GPCS3258;PUSH BOTTON (LAY39-20/GJA);16,00
GPCS3275;PUSH BOTTON (LAY39-43X/K2B);29,00
GPCS3529;LOAD TEST SWITCH (TM1307) /;18,00
GPCS3525;LIMIT SWITCH (S-1370) /;15,00
GPCS3241;BISTABLE SWITCH (MAK-3214-STK4.8);85,00
GPCS3243;DOOR ZONE SWITCH (YG-1);28,00
GPCS3526;SAFETY SWITCH (UKS);15,00
GPCS3313;BUTTON (BA213);16,00
GPCS3314;BUTTON (BA213);16,00
GPCS3303;BUTTON (BA203);16,00
GPCS3304;BUTTON (BA 203);16,00
GPAS8057;LOCK SWITCH (LLAVIN BLT) S286;80,00
GPCS4303;THREE-WAY INTERPHONE;74,00
GPCS4302;INTERPHONE POWER SUPPLY DJ-02;224,00
GPCS3155;RELAY MY2N-CR?J?(220VAC);56,00
GPCS3433;RELAY MY2NJ-D2?DC24V;19,00
GPCS4101;STABLE VOLTAGE POWER S-100-24;86,00
GPCS4920;RESISTOR 100W/100 BLT;21,00
GPCS4901;DIODE KBPC10 10W;6,00
GPCS3150;RESISTANCE-CAPACITANCE 3TX1-11B05;9,00
GPCS3510;OVER LOAD BUZZER DYD-P30015;9,00
AAD03011D;PANASONIC DOOR CONTROLLER;1782,00
WOTS108001;DOOR MOTOR / MOTOR DE PUERTA;257,00
GPCS3310 - 1;CONJ. PULSADOR BARILLE CABINA # 1;18,00
GPCS3310 - 2;CONJ. PULSADOR BARILLE CABINA # 2;18,00
GPCS3310 - 3;CONJ. PULSADOR BARILLE CABINA # 3;18,00
GPCS3310 - 4;CONJ. PULSADOR BARILLE CABINA # 4;18,00
GPCS3310 - 5;CONJ. PULSADOR BARILLE CABINA # 5;18,00
GPCS3310 - 6;CONJ. PULSADOR BARILLE CABINA # 6;18,00
GPCS3310 - 7;CONJ. PULSADOR BARILLE CABINA # 7;18,00
GPCS3310 - 8;CONJ. PULSADOR BARILLE CABINA # 8;18,00
GPCS3310 - 9;CONJ. PULSADOR BARILLE CABINA # 9;18,00
GPCS3310 - 10;CONJ. PULSADOR BARILLE CABINA # 10;18,00
GPCS3310 - 11;CONJ. PULSADOR BARILLE CABINA # 11;18,00
GPCS3310 - 12;CONJ. PULSADOR BARILLE CABINA # 12;18,00
GPCS3310 - 13;CONJ. PULSADOR BARILLE CABINA # 13;18,00
GPCS3310 - 14;CONJ. PULSADOR BARILLE CABINA # 14;18,00
GPCS3310 - 15;CONJ. PULSADOR BARILLE CABINA # 15;18,00
GPCS3310 - 16;CONJ. PULSADOR BARILLE CABINA # 16;18,00
GPCS3310 - 17;CONJ. PULSADOR BARILLE CABINA # 17;18,00
GPCS3310 - 18;CONJ. PULSADOR BARILLE CABINA # 18;18,00
GPCS3310 - PB;CONJ. PULSADOR BARILLE CABINA # PB;18,00
GPCS3310 - ( - 1);CONJ. PULSADOR BARILLE CABINA # (-1);18,00
