Guard;Station;ArriveTime;ArriveDate;Incident
88;23;11:20:54;2017-10-24;Mant. Preventivo 10
88;23;11:20:56;2017-10-24;
13;23;11:23:26;2017-10-24;Mant. Preventivo 73
13;23;11:23:29;2017-10-24;
65;23;11:24:33;2017-10-24;Mant. Preventivo 73
65;23;11:24:36;2017-10-24;
65;23;11:24:51;2017-10-24;
15;23;11:25:02;2017-10-24;
15;23;11:25:18;2017-10-24;
15;23;11:25:23;2017-10-24;
15;23;11:25:44;2017-10-24;Mant. Preventivo 101
17;23;11:28:36;2017-10-24;Mant. Preventivo 21
17;23;11:28:41;2017-10-24;
88;99;10:56:54;2017-10-24;Mant. Preventivo 73
88;99;10:57:05;2017-10-24;Mant. Preventivo 73
88;99;10:57:09;2017-10-24;Mant. Preventivo 73Mant. Preventivo 65Mant. Preventivo 53Mant. Preventivo 21
88;65;11:20:59;2017-10-24;Mant. Preventivo 73
88;65;11:21:02;2017-10-24;
13;65;11:23:22;2017-10-24;Mant. Preventivo 101
13;65;11:23:33;2017-10-24;Mant. Preventivo 21
13;65;11:23:36;2017-10-24;
65;65;11:24:27;2017-10-24;Mant. Preventivo 21
15;65;11:25:00;2017-10-24;
15;65;11:25:15;2017-10-24;
15;65;11:25:26;2017-10-24;
15;65;11:25:40;2017-10-24;Mant. Preventivo 101
17;65;11:28:43;2017-10-24;Mant. Preventivo 101
17;65;11:28:49;2017-10-24;
88;142;11:20:39;2017-10-24;Mant. Preventivo 73
88;142;11:20:43;2017-10-24;
13;142;11:23:09;2017-10-24;Mant. Preventivo 95
13;142;11:23:13;2017-10-24;
65;142;11:23:53;2017-10-24;Mant. Preventivo 73
65;142;11:23:57;2017-10-24;Mant. Preventivo 73
65;142;11:24:02;2017-10-24;Mant. Preventivo 73
65;142;11:24:53;2017-10-24;
15;142;11:24:59;2017-10-24;
15;142;11:25:11;2017-10-24;
15;142;11:25:28;2017-10-24;
15;142;11:25:33;2017-10-24;Mant. Preventivo 101
15;142;11:25:53;2017-10-24;Mant. Preventivo 101
17;142;11:28:23;2017-10-24;Mant. Preventivo 73
17;142;11:28:26;2017-10-24;
88;281;11:20:49;2017-10-24;Mant. Preventivo 101
88;281;11:20:51;2017-10-24;
13;281;11:23:15;2017-10-24;Mant. Preventivo 73
13;281;11:23:19;2017-10-24;
65;281;11:24:06;2017-10-24;Mant. Preventivo 73
65;281;11:24:09;2017-10-24;Mant. Preventivo 73
65;281;11:24:23;2017-10-24;
65;281;11:24:31;2017-10-24;
15;281;11:24:57;2017-10-24;
15;281;11:25:13;2017-10-24;
15;281;11:25:24;2017-10-24;
15;281;11:25:36;2017-10-24;Mant. Preventivo 101
15;281;11:25:39;2017-10-24;
17;281;11:28:29;2017-10-24;Mant. Preventivo 101
17;281;11:28:32;2017-10-24;
88;562;11:21:04;2017-10-24;Mant. Preventivo 73
88;562;11:21:07;2017-10-24;
13;562;11:23:38;2017-10-24;Mant. Preventivo 27
13;562;11:23:42;2017-10-24;
65;562;11:24:37;2017-10-24;Mant. Preventivo 73
65;562;11:24:40;2017-10-24;
65;562;11:24:49;2017-10-24;
15;562;11:25:03;2017-10-24;
15;562;11:25:19;2017-10-24;
15;562;11:25:29;2017-10-24;Mant. Preventivo 101
15;562;11:25:47;2017-10-24;Mant. Preventivo 101
17;562;11:28:51;2017-10-24;Mant. Preventivo 21
17;562;11:28:54;2017-10-24;
88;567;11:21:11;2017-10-24;Mant. Preventivo 101
88;567;11:21:14;2017-10-24;
13;567;11:23:44;2017-10-24;Mant. Preventivo 10
13;567;11:23:47;2017-10-24;
65;567;11:24:43;2017-10-24;Mant. Preventivo 101
65;567;11:24:46;2017-10-24;Mant. Preventivo 101
15;567;11:25:05;2017-10-24;Mant. Preventivo 73
15;567;11:25:09;2017-10-24;
15;567;11:25:21;2017-10-24;
15;567;11:25:50;2017-10-24;Mant. Preventivo 101
17;567;11:28:56;2017-10-24;Mant. Preventivo 101
17;567;11:29:00;2017-10-24;
